type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,machine_failure,TWF,HDF,PWF,OSF,RNF,failure_type,temp_diff_k,power_w,wear_torque,rule_hdf,rule_pwf,rule_osf,rule_twf
1,0.30434782608695343,0.3580246913580325,0.22293364377182778,0.5357142857142856,0.0,0,0,0,0,0,0,NORMAL,10.5,6951.5905601573495,0.0,False,False,False,False
0,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.5837912087912087,0.011857707509881422,0,0,0,0,0,0,NORMAL,10.5,6826.722724152667,138.89999999999998,False,False,False,False
0,0.30434782608695343,0.3456790123456841,0.19208381839348088,0.6263736263736263,0.01976284584980237,0,0,0,0,0,0,NORMAL,10.399999999999977,7749.387542560966,247.0,False,False,False,False
0,0.3152173913043441,0.3580246913580325,0.15424912689173464,0.49038461538461536,0.02766798418972332,0,0,0,0,0,0,NORMAL,10.400000000000034,5927.504658915662,276.5,False,False,False,False
0,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.4972527472527473,0.035573122529644265,0,0,0,0,0,0,NORMAL,10.5,5897.816608339238,360.0,False,False,False,False
1,0.30434782608695343,0.3580246913580325,0.1495925494761351,0.5233516483516483,0.043478260869565216,0,0,0,0,0,0,NORMAL,10.5,6252.554778807085,460.9,False,False,False,False
0,0.30434782608695343,0.3580246913580325,0.2270081490104774,0.5302197802197801,0.05533596837944664,0,0,0,0,0,0,NORMAL,10.5,6917.703247400628,593.6,False,False,False,False
0,0.30434782608695343,0.3580246913580325,0.20896391152502913,0.5,0.06324110671936758,0,0,0,0,0,0,NORMAL,10.5,6428.264055922363,643.2,False,False,False,False
1,0.3260869565217348,0.3703703703703738,0.29045401629802103,0.34065934065934067,0.07114624505928853,0,0,0,0,0,0,NORMAL,10.399999999999977,4992.6399890359235,514.8000000000001,False,False,False,False
1,0.3478260869565162,0.4074074074074119,0.33352735739231665,0.3324175824175824,0.08300395256916995,0,0,0,0,0,0,NORMAL,10.5,5104.878622573175,588.0,False,False,False,False
2,0.3369565217391255,0.3950617283950635,0.35739231664726423,0.2760989010989011,0.09486166007905138,0,0,0,0,0,0,NORMAL,10.5,4459.993426595285,573.5999999999999,False,False,False,False
2,0.35869565217391397,0.4197530864197603,0.1484284051222352,0.5563186813186812,0.11462450592885375,0,0,0,0,0,0,NORMAL,10.5,6601.4181710127195,1284.6999999999998,False,False,False,False
1,0.35869565217391397,0.4197530864197603,0.09953434225844005,0.6497252747252747,0.13438735177865613,0,0,0,0,0,0,NORMAL,10.5,7165.229332576969,1737.4,False,False,False,False
1,0.35869565217391397,0.4320987654321016,0.3341094295692667,0.3598901098901099,0.14624505928853754,0,0,0,0,0,0,NORMAL,10.599999999999966,5472.6544025534195,1110.0,False,False,False,False
0,0.35869565217391397,0.4320987654321016,0.5046565774155997,0.2170329670329671,0.15810276679841895,0,0,0,0,0,0,NORMAL,10.599999999999966,4176.85215270275,784.0,False,False,False,False
0,0.35869565217391397,0.4320987654321016,0.2176949941792783,0.6126373626373626,0.1660079051383399,0,0,0,0,0,0,NORMAL,10.599999999999966,7815.528539894543,2032.8,False,False,False,False
1,0.35869565217391397,0.4320987654321016,0.08323632130384173,0.5879120879120879,0.17391304347826086,0,0,0,0,0,0,NORMAL,10.599999999999966,6397.602111623326,2050.4,False,False,False,False
1,0.36956521739129755,0.4320987654321016,0.14086146682188594,0.5741758241758241,0.18577075098814227,0,0,0,0,0,0,NORMAL,10.5,6733.061375173645,2143.2000000000003,False,False,False,False
2,0.38043478260869534,0.4320987654321016,0.08032596041909201,0.6964285714285714,0.1976284584980237,0,0,0,0,0,0,NORMAL,10.399999999999977,7453.6380101520235,2725.0,False,False,False,False
1,0.3913043478260789,0.44444444444444997,0.270081490104773,0.3942307692307692,0.21739130434782608,0,0,0,0,0,0,NORMAL,10.400000000000034,5554.335811546754,1787.5,False,False,False,False
